price,area,flat_toilets,balcony,current_floors,total_floors,ceiling,dorm,mortgage,year,type_of_house,repair_status,distance_to_center
6800000.0,36.0,раздельный,нет,3.0,9.0,2.7,да,нет,1985,кирпичный,частично,1.309
13700000.0,51.0,раздельный,нет,1.0,5.0,2.7,нет,нет,1986,панельный,частично,2.046
11800000.0,44.0,раздельный,нет,4.0,10.0,2.7,нет,нет,2024,кирпичный,частично,4.193
19500000.0,45.0,раздельный,нет,9.0,10.0,2.7,нет,нет,2023,кирпичный,частично,1.083
27000000.0,70.0,раздельный,нет,2.0,9.0,2.7,нет,нет,2021,кирпичный,частично,1.103
15500000.0,57.0,раздельный,нет,4.0,5.0,2.8,нет,нет,1992,кирпичный,частично,2.929
23500000.0,52.0,раздельный,нет,5.0,9.0,2.7,нет,нет,2022,кирпичный,частично,0.947
23500000.0,73.0,раздельный,нет,4.0,5.0,2.7,нет,нет,2015,кирпичный,частично,1.349
24500000.0,58.0,раздельный,нет,5.0,9.0,2.7,нет,нет,2015,кирпичный,частично,0.483
23500000.0,61.0,раздельный,нет,3.0,9.0,2.7,нет,нет,2022,кирпичный,частично,3.598
24500000.0,60.0,раздельный,нет,2.0,5.0,2.7,нет,нет,2023,кирпичный,частично,1.705
16000000.0,63.0,совмещенный,нет,4.0,5.0,2.7,нет,нет,1973,кирпичный,без мебели,0.914
17000000.0,42.0,раздельный,нет,4.0,5.0,2.7,нет,нет,2022,кирпичный,частично,2.677
14000000.0,52.0,раздельный,нет,4.0,5.0,2.7,нет,нет,1997,иной,частично,3.479
9500000.0,31.0,раздельный,нет,1.0,5.0,2.7,нет,нет,1970,кирпичный,частично,0.958
17000000.0,37.2,совмещенный,балкон,3.0,5.0,2.8,нет,нет,2022,кирпичный,полностью,1.624
17500000.0,65.0,раздельный,нет,4.0,5.0,2.7,нет,нет,1997,иной,частично,3.479
13500000.0,52.0,раздельный,нет,1.0,5.0,2.7,нет,нет,1987,панельный,частично,3.724
25600000.0,91.7,раздельный,нет,9.0,10.0,2.7,нет,нет,2023,кирпичный,частично,1.95
10500000.0,40.0,раздельный,нет,5.0,5.0,2.7,нет,нет,1973,кирпичный,частично,0.482
17000000.0,57.4,раздельный,нет,2.0,3.0,3.0,нет,нет,2023,кирпичный,полностью,3.479
31000000.0,68.0,раздельный,нет,3.0,9.0,2.7,нет,нет,2018,кирпичный,частично,0.574
22000000.0,58.0,раздельный,нет,7.0,10.0,2.7,нет,нет,2022,кирпичный,частично,0.478
11000000.0,54.0,раздельный,нет,5.0,5.0,2.7,нет,нет,1988,панельный,частично,1.272
15000000.0,60.0,раздельный,нет,3.0,5.0,2.7,нет,нет,1968,панельный,частично,0.365
38500000.0,95.0,раздельный,нет,3.0,9.0,2.7,нет,нет,2022,кирпичный,частично,2.245
22000000.0,65.0,раздельный,нет,1.0,5.0,2.7,нет,нет,2022,кирпичный,частично,3.296
19000000.0,61.4,совмещенный,нет,6.0,9.0,2.7,нет,нет,2015,кирпичный,частично,2.807
28500000.0,66.6,раздельный,нет,3.0,5.0,2.7,нет,нет,2021,кирпичный,частично,1.851
26000000.0,64.0,раздельный,нет,5.0,9.0,2.7,нет,нет,2020,кирпичный,частично,3.836
26500000.0,60.0,раздельный,нет,4.0,9.0,2.7,нет,нет,2023,кирпичный,частично,1.27
17000000.0,52.0,совмещенный,нет,4.0,10.0,3.0,нет,В залоге,2022,кирпичный,частично,2.159
27500000.0,71.0,раздельный,нет,7.0,9.0,2.7,нет,нет,2023,кирпичный,частично,1.122
17500000.0,60.0,совмещенный,нет,3.0,5.0,2.7,нет,нет,1971,кирпичный,частично,1.19
